#CF1a	Mx	My	Mz
-0.0189215	42.2604600	-9.5438090	-2.5267400
-0.0190130	42.0588800	-9.4858860	-2.5267400
-0.0190741	42.0300900	-9.4569230	-2.5267400
-0.0191351	42.0300900	-9.4279610	-2.5267400
-0.0191656	42.0300900	-9.4279610	-2.5267400
-0.0191046	42.0012900	-9.4279610	-2.5267400
-0.0187689	41.9724900	-9.4279610	-2.5267400
-0.0183416	41.9437000	-9.4279610	-2.5267400
-0.0174871	41.9437000	-9.5148470	-2.5267400
-0.0165105	41.8573100	-9.7175820	-2.5267400
-0.0153203	41.7997100	-9.8044680	-2.5267400
-0.0140080	41.5405400	-10.1520100	-2.5267400
-0.0126041	41.5117500	-10.3547500	-2.5267400
-0.0116581	41.4541500	-10.6154100	-2.5267400
-0.0110477	41.4541500	-10.6733300	-2.5267400
-0.0104373	41.4541500	-10.7602200	-2.5267400
-0.0096744	41.4541500	-10.8181400	-2.5555470
-0.0089419	41.4541500	-10.8760600	-2.5843530
-0.0081179	41.4541500	-10.9050300	-2.5843530
-0.0073550	41.2237800	-10.9919100	-2.5843530
-0.0067446	41.1949800	-11.0498400	-2.5843530
-0.0066836	41.1661900	-11.1077600	-2.5843530
-0.0066225	41.1661900	-11.3105000	-2.6131600
-0.0065920	41.3677600	-11.3394600	-2.6419660
-0.0065615	41.4253600	-11.3684200	-2.6419660
-0.0063479	41.4253600	-11.3973800	-2.6419660
-0.0057375	41.0222000	-11.3973800	-2.6419660
-0.0051271	40.5038600	-11.3973800	-2.6419660
-0.0050356	40.4750700	-11.3973800	-2.6419660
-0.0050356	40.4462700	-11.3973800	-2.6419660
-0.0053102	40.4462700	-11.3973800	-2.6419660
-0.0055849	40.5614500	-11.3973800	-2.6131600
-0.0056154	40.5902500	-11.3973800	-2.6131600
-0.0053407	40.5902500	-11.4263400	-2.6131600
-0.0043947	40.3022900	-11.4263400	-2.6131600
-0.0037843	40.2159000	-11.4553100	-2.6131600
-0.0034486	40.1871000	-11.4553100	-2.6131600
-0.0033876	40.1871000	-11.5132300	-2.6131600
-0.0033265	40.2734900	-11.5421900	-2.6131600
-0.0032960	40.5614500	-11.6001200	-2.6131600
-0.0032960	40.6190500	-11.6290800	-2.6131600
-0.0028382	40.6190500	-11.6580400	-2.6131600
-0.0020753	40.3886800	-11.6870000	-2.6131600
-0.0016175	40.1871000	-11.7159600	-2.6131600
-0.0014039	39.9855200	-11.7159600	-2.6131600
-0.0013733	39.9279300	-11.7159600	-2.6131600
